,fecha,artista,album
0,20190315,Noisem ,Cease To Exist
1,20190315,11Paranoias ,Asterismal
2,20190315,Body Void ,You Will Know The Fear You Forced Upon Us
3,20190315,Iron Savior ,Kill Or Get Killed
4,20190315,Perversor ,Umbravorous
5,20190315,Contrarian ,Their Worm Never Dies
6,20190315,Any Given Day ,Overpower
7,20190315,Fallujah ,Undying Light
8,20190320,Black Earth ,Path Of The Immortal
9,20190320,Tengger Cavalry ,Northern Memory
10,20190322,Bloodbound ,Rise Of The Dragon Empire
11,20190322,Obsidian Sea ,Strangers
12,20190322,Cellar Darling ,The Spell
13,20190322,Waylander ,Eriú's Wheel
14,20190322,Dominanz ,Let The Death Enter
15,20190322,Cardinals Folly ,Long-Vanished Priesthood [Split]
16,20190322,Battle Beast ,No More Hollywood Endings
17,20190322,Witherfall ,Vintage
18,20190322,Ashen Horde ,Fallen Cathedrals
19,20190322,Usurper ,Lords Of The Permafrost
20,20190322,Megadeth ,Warheads On Foreheads
21,20190322,RPWL ,Tales From Outer Space
22,20190323,TNT ,Live In Milano
23,20190329,A New Revenge ,Enemies & Lovers
24,20190329,The Devil And The Almighty Blues ,TRE
25,20190329,Magic Circle ,Departed Souls
26,20190329,Lance King ,ReProgram
27,20190329,Yngwie Malmsteen ,Blue Lightning
28,20190329,Ultar ,Pantheon MMXIX
29,20190329,Inhepsie ,Onirique
30,20190329,Oshiego ,The Book Of Wonders
31,20190329,Whitechapel ,The Valley
32,20190329,Devin Townsend ,Empath
33,20190329,Nordjevel ,Necrogenesis
34,20190329,Nightrage ,Wolf To Man
35,20190329,VLTIMAS ,Something Wicked Marches In
36,20190329,Sutekh Hexen ,Sutekh Hexen
37,20190329,Moon Tooth ,CRUX
38,20190329,Triumvir Foul ,Urine Of Abomination
39,20190329,Ellende ,Lebensnehmer
40,20190329,Anthem ,Nucleus
41,20190330,Dwarrowdelf ,Of Dying Lights
42,20190403,Jupiter ,Zeus ~Legends Never Die~
43,20190405,Sworn Enemy ,Gamechanger
44,20190405,Exumer ,Hostile Defiance
45,20190405,Periphery ,Periphery IV: Hail Stan
46,20190405,Waldgeflüster ,Mondscheinsonaten
47,20190405,Latitudes ,Part Island
48,20190405,Palehørse ,Palehørse
49,20190405,Laster ,Het Wassen Oog
50,20190405,Eluveitie ,Ategnatos
51,20190405,Crowhurst ,III
52,20190405,Antropomorphia ,Merciless Savagery
53,20190405,1349 ,Dødskamp
54,20190405,Wormwitch ,Heaven That Dwells Within
55,20190405,Gold ,Why Aren't You Laughing?
56,20190408,Siculicidium ,A Halál És Az Iránytű
57,20190412,Theories ,Vessel
58,20190412,Inferi ,The End Of An Era | Rebirth
59,20190412,Darkened Nocturn Slaughtercult ,Mardom
60,20190412,Inter Arma ,Sulphur English
61,20190412,Ketzer ,Cloud Collider
62,20190412,2 Wolves - ...Our Fault,...Our Fault
63,20190412,Numenorean ,Adore
64,20190413,Neoandertals ,Neanderthal Parallax
65,20190418,Mephorash ,Shem Ha Mephorash
66,20190419,Dead To A Dying World ,Elegy
67,20190419,Allegaeon ,Apoptosis
68,20190419,After The Burial ,Evergreen
69,20190419,Dawn Of Demise ,Into The Depths Of Veracity
70,20190419,Mork ,Det Svarte Juv
71,20190419,Fractal Universe ,Rhizomes Of Insanity
72,20190419,Grand Magus ,Wolf God
73,20190419,Jordan Rudess ,Wired For Madness
74,20190426,Månegarm ,Fornaldarsagor
75,20190426,Mizmor ,Live At Roadburn 2018
76,20190426,Enforcer ,Zenith
77,20190426,Sunn O))) ,Life Metal
78,20190426,Cirith Gorgor ,Sovereign
79,20190426,Murg ,Strävan
80,20190426,Helheim ,Rignir
81,20190426,Steel Prophet ,The God Machine
82,20190426,Leverage ,DeterminUs
83,20190426,Altar Of Oblivion ,The Seven Spirits
84,20190426,Tank ,Re-Ignition
85,20190426,Vaura ,Sables
86,20190426,Helms Alee ,Noctiluca
87,20190426,Danko Jones ,A Rock Supreme
88,20190426,The Lumberjack Feedback ,Mere Mortals
89,20190503,Origin ,A Coming Into Existence
90,20190503,Myrath ,Shehili
91,20190503,Ringworm ,Death Becomes My Voice
92,20190503,Skaldic Curse ,Devourer
93,20190503,Kampfar ,Ofidians Manifest
94,20190510,Dreadnought ,Emergence
95,20190510,Spirit Adrift ,Divided By Darkness
96,20190510,Bewitcher ,Under The Witching Cross
97,20190510,Whitesnake ,Flesh & Blood
98,20190510,Nibiru ,Salbrox
99,20190510,Warforged ,I: Voice
100,20190515,Twisted Tower Dire ,Wars In The Unknown
101,20190517,October Tide ,In Splendor Below
102,20190517,Vale Of Pnath ,Accursed
103,20190517,Savage Messiah ,Demons
104,20190517,Haunt ,If Icarus Could Fly
105,20190517,Saint Vitus ,Saint Vitus
106,20190519,Warrior Soul ,Rock 'N' Roll Disease
107,20190522,Avalanch ,The Secret
108,20190524,Emil Bulls ,Mixtape
109,20190524,Fleshgod Apocalypse ,Veleno
110,20190524,Earth ,Full Upon Her Burning Lips
111,20190531,Gaahls Wyrd ,Ghosts Invited
112,20190722,Jolly ,Family
113,20190816,HammerFall ,Dominion
114,20190917,Saxorior ,Hem
115,20191213,Indian Nightmare ,Taking Back The Land
